DEPT [M],AC [US/F],CALI [IN],DEN [G/CC],GR [GAPI],NEU [%],RDEP [OHMM],RMED [OHMM]
145.5908,nan,nan,nan,62.9389,nan,2.3185,2.1468
145.7432,nan,nan,nan,63.0097,nan,2.3114,2.1298
145.8956,nan,nan,nan,63.1504,nan,2.3044,2.1128
146.048,nan,nan,nan,63.6656,nan,2.2978,2.0958
146.2004,nan,nan,nan,64.7096,nan,2.2914,2.0787
146.3528,nan,nan,nan,65.8632,nan,2.2844,2.0621
146.5052,nan,nan,nan,66.7559,nan,2.2774,2.0457
146.6576,nan,nan,nan,67.283,nan,2.2711,2.0227
146.81,nan,nan,nan,67.7007,nan,2.2695,1.9964
146.9624,nan,nan,nan,68.1184,nan,2.2769,1.9994
147.1148,nan,nan,nan,68.4453,nan,2.2873,2.0524
147.2672,nan,nan,nan,68.2935,nan,2.2936,2.1389
147.4196,nan,nan,nan,67.4803,nan,2.2991,2.2176
147.572,nan,nan,nan,66.4764,nan,2.3025,2.2565
147.7244,nan,nan,nan,65.5065,nan,2.3073,2.2525
147.8768,nan,nan,nan,64.5831,nan,2.3125,2.2469
148.0292,nan,nan,nan,63.7573,nan,2.3142,2.2385
148.1816,nan,nan,nan,63.3693,nan,2.3107,2.2295
148.334,nan,nan,nan,63.5765,nan,2.3051,2.2205
148.4864,nan,nan,nan,63.9597,nan,2.2997,2.2115
148.6388,nan,nan,nan,64.343,nan,2.2941,2.2025
148.7912,nan,nan,nan,64.7263,nan,2.2887,2.1935
148.9436,nan,nan,nan,65.1095,nan,2.2834,2.1809
149.096,nan,nan,nan,65.5185,nan,2.2822,2.1692
149.2484,nan,nan,nan,66.0604,nan,2.2872,2.1715
149.4008,nan,nan,nan,66.7797,nan,2.2936,2.181
149.5532,nan,nan,nan,67.5509,nan,2.2968,2.1977
149.7056,nan,nan,nan,68.3222,nan,2.2988,2.2247
149.858,nan,nan,nan,69.0934,nan,2.302,2.2522
150.0104,nan,nan,nan,69.8646,nan,2.3066,2.2806
150.1628,nan,nan,nan,70.7573,nan,2.3122,2.3105
150.3152,nan,nan,nan,72.2699,nan,2.3259,2.3423
150.4676,nan,nan,nan,74.2229,nan,2.3503,2.3753
150.62,nan,nan,nan,74.524,nan,2.378,2.4088
150.7724,nan,nan,nan,72.4301,nan,2.4058,2.4428
150.9248,nan,nan,nan,69.9374,nan,2.4344,2.4748
151.0772,nan,nan,nan,67.8232,nan,2.4621,2.4957
151.2296,nan,nan,nan,65.6691,nan,2.4879,2.5018
151.382,nan,nan,nan,63.5213,nan,2.5115,2.5038
151.5344,nan,nan,nan,62.3724,nan,2.544,2.5054
151.6868,nan,nan,nan,62.5793,nan,2.5805,2.506
151.8392,nan,nan,nan,63.0191,nan,2.599,2.5064
151.9916,nan,nan,nan,62.6613,nan,2.611,2.5078
152.144,nan,nan,nan,61.3006,nan,2.6276,2.5094
152.2964,nan,nan,nan,59.7014,nan,2.6511,2.5108
152.4488,nan,nan,nan,58.1701,nan,2.6751,2.5124
152.6012,nan,nan,nan,56.6578,nan,2.6991,2.5164
152.7536,nan,nan,nan,55.3256,nan,2.7232,2.5337
152.906,nan,nan,nan,54.8878,nan,2.7472,2.5671
153.0584,nan,nan,nan,55.5679,nan,2.7712,2.6056
153.2108,nan,nan,nan,56.4609,nan,2.7948,2.6451
153.3632,nan,nan,nan,56.822,nan,2.8183,2.6851
153.5156,nan,nan,nan,56.5236,nan,2.8428,2.739
153.668,nan,nan,nan,56.037,nan,2.8674,2.7934
153.8204,nan,nan,nan,55.5504,nan,2.9091,2.8244
153.9728,nan,nan,nan,55.2097,nan,2.9642,2.8485
154.1252,nan,nan,nan,55.5866,nan,3.0063,2.864
154.2776,nan,nan,nan,56.7882,nan,3.0392,2.887
154.43,nan,nan,nan,57.977,nan,3.0602,2.919
154.5824,nan,nan,nan,58.8465,nan,3.0913,2.951
154.7348,nan,nan,nan,59.6259,nan,3.1349,2.9822
154.8872,nan,nan,nan,60.405,nan,3.1784,3.0083
155.0396,nan,nan,nan,61.0694,nan,3.2229,3.0275
155.192,nan,nan,nan,61.1734,nan,3.2653,3.045
155.3444,nan,nan,nan,60.6046,nan,3.2946,3.0626
155.4968,nan,nan,nan,59.8464,nan,3.3085,3.0783
155.6492,nan,nan,nan,59.1833,nan,3.318,3.0869
155.8016,nan,nan,nan,58.9807,nan,3.327,3.0853
155.954,nan,nan,nan,59.3251,nan,3.3365,3.0806
156.1064,nan,nan,nan,59.612,nan,3.3506,3.0785
156.2588,nan,nan,nan,58.881,nan,3.3651,3.0771
156.4112,nan,nan,nan,57.2393,nan,3.3723,3.0746
156.5636,nan,nan,nan,56.6556,nan,3.3768,3.0716
156.716,nan,nan,nan,57.7045,nan,3.3822,3.0686
156.8684,nan,nan,nan,58.9514,nan,3.3851,3.0643
157.0208,nan,nan,nan,58.9667,nan,3.3808,3.0523
157.1732,nan,nan,nan,57.5497,nan,3.3738,3.0319
157.3256,nan,nan,nan,56.1237,nan,3.3672,3.0094
157.478,nan,nan,nan,56.5535,nan,3.3608,2.9868
157.6304,nan,nan,nan,59.0175,nan,3.3537,2.9643
157.7828,nan,nan,nan,61.566,nan,3.3472,2.9422
157.9352,nan,nan,nan,63.5315,nan,3.3403,2.9207
158.0876,nan,nan,nan,65.0895,nan,3.329,2.8884
158.24,nan,nan,nan,65.4772,nan,3.313,2.8547
158.3924,nan,nan,nan,64.5322,nan,3.2875,2.8331
158.5448,nan,nan,nan,62.9405,nan,3.2605,2.8168
158.6972,nan,nan,nan,60.4319,nan,3.2434,2.8058
158.8496,nan,nan,nan,58.5413,nan,3.2307,2.7891
159.002,nan,nan,nan,59.2788,nan,3.2217,2.7651
159.1544,nan,nan,nan,61.1992,nan,3.2089,2.741
159.3068,nan,nan,nan,61.6074,nan,3.1923,2.7175
159.4592,nan,nan,nan,60.333,nan,3.1754,2.6935
159.6116,nan,nan,nan,59.9342,nan,3.1564,2.6699
159.764,nan,nan,nan,61.1105,nan,3.1359,2.6488
159.9164,nan,nan,nan,62.3739,nan,3.1153,2.6375
160.0688,nan,nan,nan,62.0421,nan,3.0948,2.6375
160.2212,nan,nan,nan,60.2681,nan,3.0743,2.64
160.3736,nan,nan,nan,59.5024,nan,3.0538,2.6434
160.526,nan,nan,nan,60.3657,nan,3.0332,2.647
160.6784,nan,nan,nan,61.4109,nan,3.0117,2.649
160.8308,nan,nan,nan,61.2557,nan,2.999,2.651
160.9832,nan,nan,nan,59.7931,nan,2.997,2.6545
161.1356,nan,nan,nan,58.2309,nan,2.9955,2.66
161.288,nan,nan,nan,57.835,nan,2.994,2.666
161.4404,nan,nan,nan,58.6991,nan,2.992,2.6725
161.5928,nan,nan,nan,59.7534,nan,2.9895,2.679
161.7452,nan,nan,nan,60.1286,nan,2.9865,2.685
161.8976,nan,nan,nan,59.7758,nan,2.984,2.6915
162.05,nan,nan,nan,59.2288,nan,2.982,2.698
162.2024,nan,nan,nan,58.6819,nan,2.9795,2.7045
162.3548,nan,nan,nan,58.5917,nan,2.978,2.711
162.5072,nan,nan,nan,60.0967,nan,2.981,2.7175
162.6596,nan,nan,nan,61.5071,nan,2.9886,2.7347
162.812,nan,nan,nan,61.0632,nan,2.9976,2.7597
162.9644,nan,nan,nan,59.9735,nan,3.0112,2.7766
163.1168,nan,nan,nan,58.8836,nan,3.0246,2.7881
163.2692,nan,nan,nan,57.6791,nan,3.0316,2.8053
163.4216,nan,nan,nan,55.9512,nan,3.0366,2.8283
163.574,nan,nan,nan,53.9187,nan,3.0436,2.8513
163.7264,nan,nan,nan,52.841,nan,3.0526,2.8744
163.8788,nan,nan,nan,52.9004,nan,3.0617,2.8984
164.0312,nan,nan,nan,53.2575,nan,3.0707,2.9224
164.1836,nan,nan,nan,53.6146,nan,3.0792,2.9491
164.336,nan,nan,nan,53.7609,nan,3.0835,2.9786
164.4884,nan,nan,nan,52.9519,nan,3.084,3.0092
164.6408,nan,nan,nan,51.1658,nan,3.084,3.0402
164.7932,nan,nan,nan,49.1261,nan,3.0835,3.0566
164.9456,nan,nan,nan,47.4007,nan,3.083,2.9392
165.098,nan,nan,nan,47.0958,nan,3.083,2.7662
165.2504,nan,nan,nan,48.2281,nan,3.0788,2.6674
165.4028,nan,nan,nan,49.1379,nan,3.0602,2.5923
165.5552,nan,nan,nan,47.8494,nan,3.0369,2.428
165.7076,nan,nan,nan,46.0073,nan,3.0184,2.2252
165.86,nan,nan,nan,45.6064,nan,2.9908,2.2387
166.0124,nan,nan,nan,45.7531,nan,2.9548,2.481
166.1648,nan,nan,nan,46.0135,nan,2.9219,2.7618
166.3172,nan,nan,nan,46.7834,nan,2.8999,2.97
166.4696,nan,nan,nan,48.0581,nan,2.8892,2.9589
166.622,nan,nan,nan,48.7835,nan,2.8817,2.7436
166.7744,nan,nan,nan,46.6044,nan,2.8742,2.5024
166.9268,nan,nan,nan,42.6087,nan,2.8667,2.3219
167.0792,nan,nan,nan,41.2587,nan,2.8592,2.1935
167.2316,nan,nan,nan,43.3737,nan,2.8516,2.2902
167.384,nan,nan,nan,46.6058,nan,2.8436,2.5176
167.5364,nan,nan,nan,49.0473,nan,2.8318,2.6287
